"Key";"Source";"Translation"
"pachyrhinosaurus";"Pachyrhinosaurus (Pack-ee-rine-oh-sore-us), the “thick-nosed lizard” is a genus of ceratopsian dinosaur from the Late Cretaceous of North America. The species in front of you, P. lakustai, hails specifically from Western Canada. This large herbivore is most famous for its unique facial ornament, known as a boss. Even in the age of the dinosaurs, some parts of our planet got quite cold! In Pachyrhinosaurus, we see a variety of bone growth rates that suggest this animal was endothermic (warm-blooded) and grew faster in the warm seasons than in the cold seasons, much like modern animals adapted to endure harsh winters. The species Pachyrhinosaurus perotorum is known from Alaska, making it the northernmost ceratopsid dinosaur. Pachyrhinosaurus lakustai is known from the Wapiti Formation in Canada, which yields fossils from the Late Cretaceous. These same rocks also hold fossils of Albertosaurus, Edmontosaurus, a dromaeosaur, and more. How we view the lives of dinosaurs like Pachyrhinosaurus is sure to change in the coming decades, because there are many questions fossils have yet to answer. Did these animals migrate? What other dinosaurs lived alongside them? What did they look like? How did they survive cold winters? There are numerous theories regarding these questions, but time will tell if any are supported or rejected by the newest fossil evidence.";""
"parasaurolophus";"Parasaurolophus, the ""Near Crested Lizard,"" was a very nasally ornithopod, making it an odd but well-liked dinosaur in the eyes of its adoring fans. With an estimated length of nine and a half meters and a maximum height of three-to-four meters, it was a heavily-built dinosaur that could switch between bipedal and quadrupedal postures at will. Its odd crest is a point of interest to fans and scientists alike, with multiple hypothesized functions. For both sexes, the crest likely acted as a sign of recognition between members of herds. For males specifically, though, it was probably for attracting potential mates. Its crest may also have helped with thermoregulation, depending on if there was a flap of skin connecting the crest to the head or not. It may have also served as a resonating chamber used for producing loud and low bellows, which could alert all members of a herd to danger. Roaming North America during the Cretaceous, Parasaurolophus lived along fellow herbivores like Corythosaurus and carnivores like Gorgosaurus. It grinded plants in a chewing-like motion, with its beak cropping plant matter while its cheeks holding it firmly in its mouth. Parasaurolophus fed upon plants of varying heights due to its range of postures.";""
"phorusrhacos";"Phorusrhacos, the ""Rag-Thief"" or ""Wrinkle Bearer,"" is a ""terror bird"" that is only known from partial fossils. Its approximate size is estimated to be two and a half meters tall, since with only fragmentary evidence its size cannot be said for certain. The meaning of its name describes the ""wrinkled"" curve of its lower jaw. Like other terror birds, it had a massive hooked beak that was built for consuming meat. How it hunted is unknown, but it almost certainly feasted on small mammals. It may have used its beak or sharp claws to deal blows on their unfortunate prey, or repeatedly beat their poor victims against the ground like their modern relatives seriemas. During the start of its reign in Miocene Argentina, Phorusrhacos ruled grasslands and woodlands, stalking around in the search for food around the hills that would eventually become the Andes Mountains. It lived alongside four other terror birds, so they must have evolved to hunt different prey - otherwise, they undoubtedly would have fought with one another. Although a fearsome predator, the Phorusrhacos went extinct before the Miocene Epoch ended, and at present it is not known why. Until further research is done or new fossils are discovered, it will continue to be another mystery paleontology is working to solve.";""
"platybelodon";"Platybelodon, the ""Flat-Speared Tusk,"" certainly attracts attention with its intriguing incisors! Platybelodon stood around two meters tall, approximately the same size as modern Asian elephants. However, coming from the Gomphoteriidae family, it is not a true elephant (no matter how much it looks like an awkward cousin with an underbite). Both elephants and gomphotheres tend to have the iconic trunks and tusks on their upper jaws; their lower jaws are where their differences are the most obvious. Platybelodon's lower jaw is broad, flat, and long like a shovel, and originally it was thought that it used this shovel-jaw to scoop up aquatic vegetation in swamps. Nowadays, scientists think that the sharp, flat teeth at the end of the jaw made a good surface for scraping bark and sawing branches off of trees. This proud proboscidean lived in the grassy Neogene savannas of Africa and Asia, where it sought out enough vegetation to sustain its large body. Like its modern relatives, Platybelodon likely had few predators. However, some Platybelodon bones are preserved with bite marks from the giant shark Otodus megalodon! These bite marks indicate that either their carcasses washed out to sea and were scavenged or that they occassionally went for dangerous dips in the ocean.";""
"plesiosaurus";"Plesiosaurus, the ""Near Lizard,"" was a small aquatic reptile at less than four meters long. The first complete fossil was found by the first female paleontologist, Mary Anning. Its family Plesiosauridae is characterized by having a small head mounted on a long neck and four fins on a body with a stubby little tail. Sound familiar? Because the Loch Ness Monster is said to have similar features, it is commonly believed to be a Plesiosaurus. However, although Plesiosaurus lived in the prehistoric UK, it died out in the Jurassic Period, which means there is no chance that any could have survived in the Loch for over a hundred million years. Plesiosaurus lived in open ocean, using is four paddle-like fins to propel itself in chase of fish and cephalopod prey. It may not have been able to smell underwater, so it would have had to rely on other senses to find food. Contrary to popular belief, Plesiosaurus and its relatives did not crawl on land to lay eggs, so they won't be building sandcastles anytime soon. Instead, it remained in the water to give birth to live young. Paleontologists learned this from a remarkable fossil of the plesiosaur Polycotylus, which displays the bones of an adult and its single developing infant.";""
"postosuchus";"While the Late Triassic is famously heralded as the time of the rise of the dinosaurs, non-dinosaurian predators were still quite common and successful during the time. Postosuchus kirkpaticki, a species of rauisuchid archosaur, is one example of this. While it exhibited many traits familiar to other pseudosuchians such as osteoderms on its neck and back, it also mirrored the dinosaurs by likely being bipedal. The tropical environment of Late Triassic North America allowed Postosuchus to become one of the largest carnivorous reptiles of its time - over half as tall as the average person - with fine-tuned senses such as sight and smell.";""
"protoceratops";"Protoceratops (Prow-tow-seh-rah-tops), literally “first horned face” has made its way into many a dinosaur encyclopedia under the guise of just that: a primitive ancestor to the larger, more advanced ceratopsians. However, as it lived around the same time of many of its so-called descendants, this explanation has lost its credence. There’s no shortage of Protoceratops fossils in their home range of China and Mongolia, from eggs to juveniles to adults. We even see some spectacular interspecific interactions, from death duels with Velociraptor to insect boreholes in the flesh and bones. Spectacular for us, that is - I doubt the dinosaurs enjoyed it much. P. andrewsi, the species in front of you, is known specifically from the Djadochta (Juh-duck-ta) Formation in Mongolia, which had a hot semi-arid climate during the Campanian stage of the Late Cretaceous. This is similar to the modern climate of the Gobi Desert. Some animals that shared this environment include Citipati, Velociraptor, and Udanoceratops. Some paleontologists suggest Protoceratops may have evaded the desert heat by digging small burrows. If this is true, it wouldn’t be the only example of a digging dinosaur! The thescelosaur Oryctodromeus was preserved inside a burrow it presumably dug, and fossils of Protoceratops appearing rapidly buried in sand may have suffered the same fate.";""
"psittacosaurus";"Psittacosaurus (Sit-tac-oh-sore-us), the “parrot lizard” named for its large, strong beak, is a well-known genus of early ceratopsian dinosaur, related to animals like Protoceratops and Triceratops. Hundreds of fossils, representing a wide age range, have been found spanning Early Cretaceous fossil deposits in East Asia, most famously China and Russia. The appearance of the animal in front of you is largely based on a fossil from the Yixian (Ee-syan) Formation of China, which preserves bristle-like (non-feathery) structures on the tail, the pigments in the skin, and even a belly button! This specimen, referred to as SMF R 4970, is used to inform many of the modern reconstructions of Psittacosaurus. The massive volume of individual Psittacosaurus known from the fossil record means many specimens can tell us about the relationships this dinosaur had with other species and its own kind. For example, finds of a mixed-age group of Psittacosaurus suggest they formed social groups after leaving the nest, but reasons behind this are unclear. Furthermore, the discovery of a juvenile Psittacosaurus in the stomach of the mammal Repenomamus suggests other dinosaurs weren’t the only predators this small biped had to worry about. Another specimen, preserving a Repenomamus and adult Psittacosaurus locked in combat, suggest adults wouldn’t go down without a fight. As a common animal in the Yixian Formation, Psittacosaurus shared its subtropical-temperate environment with Confuciusornis, Yutyrannus, Repenomamus, and the plant Ephedra, among many others.";""
"pteranodon";"Pteranodon, the ""Toothless Wing,"" is a very well-known genus of pterosaur due to a lot of representation in both the fossil record and several popular movies and television shows. Showing a great degree of sexual dimorphism, Pteranodon is a fascinating prehistoric flying reptile. Males grew to over six meters from wingtip to wingtip and had a very large crest; females were smaller with wingspans that didn't quite reach four meters and shorter, rounder crests. Though traditionally the crest was thought to be used as a rudder when flying, the range of sizes of crests across the sexes means it likely was not used for anything other than mating displays. During the late Cretaceous Period, the center of the United States was an underwater paradise known as the Western Interior Seaway, which was a small sea full of tasty creatures for Pteranodon to feast on. Its diet likely consisted of only fish, but at least there were plenty of fish in the sea for every pterosaur. Pteranodon probably fished by sitting on the water and plunging their long beaks into the waves, but may have also been able to dive into the water to make spectacular catches. On land, these creatures walked on all-fours with their wings folded so that their small hands could reach the ground.";""
"quagga";"The quagga, whose name is onomatopoeia for the sound it made, is an extinct subspecies of zebra. They diverged from zebra during the Pleistocene Epoch, with quaggas developing a different coat pattern than zebras. They were partially covered by brown and white stripes, with a brown body and white legs. They were two and a half meters long and almost a meter and a half tall at the shoulder. Quaggas were lively equids, but unfortunately they were easy to kill, which lead to their untimely extinction at the hands of humans in 1878. They were prized for their meat and their skins, which were used for trading. Found in South Africa until their unfortunate extinction, quaggas lived in grasslands in mutually beneficial relationships with wildebeast and ostriches. They roamed in herds that could contain between 30 and 50 animals, grazing on the abundant grass. In 1987, a breeding project was started in South Africa with the intent to selectively breed zebras until they develop a quagga-like pattern. Once a population has been created, these pseudo-quaggas will be reintroduced into the wild even though their genetic code will be different. Foals in the current generation of the project are quickly losing their stripes and starting to resemble the extinct quagga more and more.";""
"quetzalcoatlus";"Quetzalcoatlus (ket-zal-koh-at-lus) is the largest known pterosaur, named after the Aztec feathered serpent deity Quetzalcoatl. It hails from the Late Cretaceous of the Javelina (Ha-vuh-lee-nah) Formation of Texas, USA. It is most famous for its extreme size, but the fragmentary nature of the type specimen makes calculating an exact size difficult. The discovery of a smaller, related species in 2021 from better fossil material has made Quetzalcoatlus’ reconstructions more accurate today than ever before. Quetzalcoatlus is part of a family of pterosaurs called azhdarchids, which encompasses other giants like Hatzegopteryx and Arambourgiania. Their distribution across the planet suggests giant pterosaurs may have had a worldwide range during the Late Cretaceous. While the exact diet of Quetzalcoatlus northropi (the animal in front of you) is still a mystery, it was most certainly a carnivore, and unlikely to be a strict piscivore or scavenger. The smaller species Q. lawsoni may have been a probe-feeder like modern sandpipers, using its long beak to take invertebrates from deep sand. Quetzalcoatlus northropi lived fittingly alongside the giant sauropod Alamosaurus and the giant ceratopsid Torosaurus. Despite the few fossils known from this species, it’s been beloved by millions since before it was even named. Hopefully, future discoveries of these giants will continue to shake the earth!";""
"sarcosuchus";"Sarcosuchus, the ""Flesh Crocodile,"" puts the modern saltwater crocodile to shame. At an unbelievable twelve meters long, Sarcosuchus was one of the largest crocodile to ever live. It achieved this immense size by growing rapidly, spending less time as a vulnerable smallfry. It had a very toothy grin, with 132 teeth per animal, and no doubt had a wicked offensive system. For defense, Sarcosuchus' back was adorned with a complete covering of osteoderms. This kept it protected while it floated on the surface of the water in search of food. If its land-living prey decided to fight back against this wide maw of certain death, the osteoderms would without doubt have deflected it. Living in the Cretaceous freshwater tropical paradise that is now the Sahara Desert, Sarcosuchus had a veritable buffet set out before it. Among the most common species that it coexisted with were iguanodontids and species of coelacanth, which would have often been on the menu. However, it has been suggested that Sarcosuchus could not death roll like modern crocodylians can, so how it ate is still a mystery. It's safe to say, though, that no matter how this creature ate, you would not want to find yourself face-to-teeth with it.";""
"scotoharpes";"Scotoharps (Sko-toe-harp-ees) is a small Harpetid trilobite with a near-global range – this species in particular, Scotoharpes spasski comes from the Mid-Ordovician of Russia. Like many of its relatives, Scotoharpes is best known for large brim around their cephalon, or head, which may have served a role in feeding. Perhaps they were using this cephalon to dig through mud, passing particulates through their gills to catch small pieces of food. Its also possible this cephalon may have been used for defense or even combat between individuals, similarly to modern invertebrates. The small eyes of Scotoharpes mean it might not have relied too much on sight, and instead felt the world around it using its antenna. Outside of this, very little is known about the Harpetid trilobites – perhaps now that you have brought one back, you can help fill some gaps in the research?";""
"smilodon";"Smilodon, the ""Knife Tooth,"" is commonly referred to as the saber-toothed tiger despite its very distant relations to tigers. It was a very robust feline, with the largest species (Smilodon populator) weighing in at a whopping four hundred kilograms. It stood around 120 centimeters tall, which is comparable to the height of a tiger. Its iconic canines were 28 centimeters long and relatively fragile; they could not be used to take down prey but were rather used to deliver the killing bite to the throat. This, and the fact that their powerful bodies were built for jumping, makes Smilodon into a highly efficient killing machine. All species of Smilodon lived in the Pleistocene Epoch, covering a territory that stretched from North to South America. They likely hunted in packs, working together to bring down large mammals in forest and bush environments. Their proficiency in jumping means that they may have been ambush predators like many modern big cats. However, although apex predators, Smilodon faced several threats. Ravenous cave lions and dire wolves competed with Smilodon for the same resources, and confrontations were certain. They also fell victim to the infamous tar pits, such as the ones in La Brea, California.";""
"spinosaurus";"Spinosaurus, the ""Spine Lizard,"" is the subject of a heated debate in the scientific community. One thing that is not debated, though, is the sheer size of the monstrosity - with a length of over fifteen meters and a sail height of over one and a half meters, Spinosaurus was quite possibly the biggest terrestrial carnivore to ever live. Prior to 2014, Spinosaurus was thought to have a fairly normal theropod body, with its body resting on top of long legs. However, a 2014 study claimed that Spinosaurus had short hind legs and walked on all fours. This quadrupedal model set the paleontology world reeling. While some people accept this model, most are not ready to accept such a drastic revision based on the fossils and simply reconstruct it with shorter legs and a longer torso. Despite the controversy over its anatomy, there is still much that scientists agree on. Spinosaurus lived during the Cretaceous Period in what is now Northern Africa. Its environment was very wet, and it spent a great deal of time in the water. A proficient hunter, Spinosaurus posed a huge threat to every creature that dared to near it. Its dangerous jaws, over a meter long, could handle all manners of prey. It also was likely very opportunistic, never passing up the chance for an easy catch or scavenged carcass.";""
"stegosaurus";"Stegosaurus, the ""Roofed Lizard,"" is the most famous member of the Stegosauridae family, which is known for its unique body armor consisting of plates and spines. Stegosaurus is also the largest in its family at almost nine meters long and four meters tall. Originally depicted with its plates laying flat on its back like roof tiles, the famous plates of the Stegosaurus stood up on its back in two offset rows. The purpose of these plates is still debated, but they were likely for sexual display, thermoregulation, or intimidation. The spikes on its tail are known as ""thagomizers,"" a name popularized by Gary Larson's Far Side comic. As its main source of defense, the tail could be swung with great force at foes, goring them with the sharp spikes. Living alongside Allosaurus in Late Jurassic United States and Portugal, Stegosaurus had good reason to have such a strong defensive system. It was one of Allosaurus's many food sources, so fighting back against the mighty predator was a necessity. It was successful, too; one Allosaurus fossil contains a puncture would that almost certainly came from a thagomizer. When it wasn't protecting itself, Stegosaurus travelled in herds eating low-level plants like mosses or fruit. Rearing on its hind legs would let it reach heights of up to six meters.";""
"sturgeon";"The name ""sturgeon"" refers to any fish in the family Acipenseridae. This family has existed since the upper Cretaceous Period and still continues to live today. Like other living fossils, these fish live long and mature late. With some species reaching lengths of seven meters, these bottom-feeders are quite large creatures. They mainly stick around river deltas and estuaries, but migrate upstream for spawning. Unlike other bony fishes, sturgeons have cartilaginous skeletons and are covered in skin adorned with bony scutes rather than scales. They have four barbels - sensory organs - preceding their mouths that they use to navigate by dragging them along the ground. Sturgeon feed upon shells, small fish, and crustaceans by using their mouths to suck the food up, but without teeth, they cannot seize prey. They often live to sixty years old (though some have been found over 100) and spawn for the first time around twenty; due to this, many species are under threat from overfishing and environmental pollution. As such, most of the sturgeon family is at risk of extinction, rendering them more endangered than any other family. Without ceasing illegal fishing, humans may see the end of the sturgeon come quicker than it should naturally.";""
"therizinosaurus";"Therizinosaurus, the ""Scythe lizard,"" was, surprisingly enough, likely a herbivore despite its intimidating exterior. With a maximum length of ten meters and a maximum height of four or five meters, this freakishly tall monstrosity possessed a terrifying defining feature: incredibly long claws that reached the length of a meter. These claws likely provided ample protection from the ferocious predators that dared to prey upon Therizinosaurus. As the last and largest of the therizinosaurs, this odd animal roamed the lands only a few million years before the large dinosaurs disappeared from the Earth. Because of that, it serves as the poster-child for its family, Therizinosauridae. Roaming what is now modern Mongolia, Therizinosaurus was among other odd herbivores and carnivores in scrublands near deserts. However, sometimes dense rainforests with plentiful plantlife and a variety of trees provided a suitable habitat and wealth of food to Therizinosaurus. Its monstruous claws were used to reach branches and leaves and pull them to its mouth. It may have competed with its relative Deinocheirus for food, though this would likely have been more of an issue in the desert than the rainforest.";""
"tiktaalik";"Tiktaalik, named for the Inukitut word for burbots, is the epitome of a ""transitional fossil,"" or a specimen that shows features from its ancestors and its descendants. Tiktaalik in particular shows the transition between fish and terrestrial tetrapods. This one-point-eight meter long fish has normal ""fishy"" features, like scales and gills, but also sports lungs, wrists, and other features of four-legged animals. The evolution of limbs with wrists was significant, because it allowed animals like Tiktaalik and their decendents to prop themselves up in shallow water and eventually crawl onto land. If this never happened, animal life might still be stuck in the ocean! Tiktaalik lived in the shallow waters of the Devonian Period in Canada, which was almost centered on the Equator at the time. Its head was very similar to that of a crocodile; flat with eyes raised to the top of the skull. The combination of its raised eyes, sharp teeth, and supportive limbs would have made it an effective predator, able to rest on the beds of waterways watching unsuspecting prey float past. Small fish would have been attracted to the shallows due to the large amount of leaves dropping off the new deciduous plants, making them the perfect place for a predator like Tiktaalik to lurk.";""
"titanis";"Titanis, the ""Titan,"" was named for giant Greek gods that preceded the Olympians; a fitting title for a bird this immense. Titanis stood at just under two meters tall, taller than the average human but shorter than other ""terror birds"" like its relative Phorusrhacos. However, despite its ""small"" stature, Titanis was more heavily built, with a shorter but thicker neck. It was made for speed; its two long, muscular legs more than made up for the fact that it was completely flightless. In fact, it had the smallest of any phorusrhacid, but that didn't stop it from being a fearsome predator. Titanis lived in North America for over three million years, lasting from the Blancan to the Gelasian stage of the Pleistocene Epoch. It is the only known terror bird to leave South America, migrating north to roam the plains of North America. Likely a carnivore, Titanis was always in search of prey. It was a devastating hunter; some experts theorize that it used its powerful head to smash small prey on the ground until they died, similar to how seriemas kill their prey. For larger prey, it's axe-like beak had the potential to viciously rip apart chunks of flesh.";""
"triceratops";"Triceratops, the ""Three Horned Face,"" is a dinosaur of particular interest, being widely represented in both entertainment and in the fossil record. Its stout, powerful body reached lengths of nine meters and heights of three meters. Triceratops was a force of nature few reckoned with, emblazoned with its mighty frill and horns. These iconic ornaments grew as it reached maturity. Triceratops are commonly depicted using their headgear as weapons, but recent theories that note the presence of blood vessels in the skulls suggest that the frill was most likely used for courtship. Triceratops shared the warm North American climates of the Maastrichtian age of the Cretaceous with fearsome foes like the Tyrannosaurus. In the event of a confrontation, its horns could be used to ward off or gore opponents into submission. It lived in relative harmony with other herbivores during its reign before the mass extinction at the end of the Cretaceous. It browsed low-hanging vegetation with its beak lined with rows of teeth, which sheared leaves off fibrous plants like palms, ferns, and cycads. Due to the large amount of Triceratops fossils that have been found, it is safe to say that Triceratops was one of, if not the, most common herbivores of the Period.";""
"tyrannosaurus";"Tyrannosaurus rex, the ""Tyrant Lizard King,"" is the most famous dinosaur in existence, being represented in art, literature, entertainment, etc. With a maximum length exceeding twelve meters and a height of over three meters, this creature towered over humans and many other animals as well. Its growth started and ended slowly, but Tyrannosaurus experienced a growth spurt during its teenage years. The result was the giant creature known and loved today. However, like many other tyrannosaurs, Tyrannosaurus died shortly after reaching maturity and their infants often died naturally in the volatile world of the Cretaceous. Living in the Maastrichtian age, just before the extinction of the dinosaurs in the Cretaceous, Tyrannosaurus was among the last great non-avian dinosaurs to roam the Earth. In fact, it is the last known member of its family Tyrannosauridae. It lived across what is now North America in warm and humid climates alongside a plethora of herbivorous animals and small theropods. It commonly preyed upon famous herbivores such as Triceratops and Edmontosaurus. Its hollow bones allowed it to move quickly and its robust, blade-like teeth permitted it to rip into prey, mutilating any allegations that it may be a simple scavenger.";""
"velociraptor";"Velociraptor, the ""Speedy Thief,"" is an insanely popular dinosaur due to its star status in popular movies. However, the real Velociraptor is very different from the man-sized, scaly monsters depicted by Hollywood. True Velociraptors were unimposingly small, only two meters long and one and a half meters tall. They also had feathers, like a bird. Functionally, these feathers likely helped to attract potential mates, cover nests while brooding, increase speed while running uphill, and maintain balance while hunting. Discovered in modern day Mongolia, the Velociraptor lived in arid environments consisting of mainly sand dunes. It lived during the late Cretaceous Period but disappeared before the mass extinction that killed the dinosaurs. During its tenure on Earth, the Velociraptor scoured the deserts for vulnerable prey, such as its famous adversary, Protoceratops. It hunted and killed small prey with a method called ""raptor prey restraint,"" in which it attacked the prey, pinned it down, and started to eat it alive. The ""RPR"" method helps to explain the purpose of the iconic dromeosaur sickle-claws: holding on! Another possible use for these claws may have been climbing trees, which would certainly mean some poor animals experienced death from above.";""
"walliserops";"Walliserops (Wall-eye-ser-ops) is a unique phacopid trilobite, best known for the three-pronged horn at the front of its head. This species, Walliserops trifurcatus, is known from the Devonian of Morocco, a place renowned for its amazingly detailed trilobite fossils. The “trident” of Walliserops is a protrusion of its glabella, a round feature found on the cephalon, or head, of trilobites, and likely worked just like a real trident – as a weapon. Similar to rhinoceros beetles, it is believed Walliserops would use this trident to joust with others of their species, perhaps with the goal of flipping their opponent over to secure victory and probable mating rights. It is possible this horn is sexually dimorphic, with two different shapes being shown in the fossil record, but this is difficult to prove. Suffice to say, Walliserops is one of the most unique trilobites and, now that you have one swimming around, it is sure to be a prized attraction!";""
